safeName,item,itemLabel,deaths,starttime,endtime,pointintime
CinemaRexfire,http://www.wikidata.org/entity/Q123170,Cinema Rex fire,470,,,1978-08-19T00:00:00Z
NamyangjuMassacre,http://www.wikidata.org/entity/Q15891798,Namyangju Massacre,460,,,1950-10-01T00:00:00Z
Prkosmassacre,http://www.wikidata.org/entity/Q9388665,Prkos massacre,438,,,1941-12-21T00:00:00Z
BinhHoamassacre,http://www.wikidata.org/entity/Q497528,Binh Hoa massacre,430,,,1966-12-06T00:00:00Z
JallianwalaBaghmassacre,http://www.wikidata.org/entity/Q208855,Jallianwala Bagh massacre,379,,,1919-04-13T00:00:00Z
Indianmassacreof1622,http://www.wikidata.org/entity/Q616307,Indian massacre of 1622,347,,,1622-03-22T00:00:00Z
MejaMassacre,http://www.wikidata.org/entity/Q1136536,Meja Massacre,345,,,1999-04-28T00:00:00Z
Ardeatinemassacre,http://www.wikidata.org/entity/Q638761,Ardeatine massacre,335,,,1944-03-24T00:00:00Z
WoundedKneeMassacre,http://www.wikidata.org/entity/Q108413,Wounded Knee Massacre,300,,,1890-12-29T00:00:00Z
2016Mosulmassacre,http://www.wikidata.org/entity/Q22948704,2016 Mosul massacre,300,,,2016-02-08T00:00:00Z
SinkingofF174,http://www.wikidata.org/entity/Q3873371,Sinking of F174,283,,,1996-12-25T00:00:00Z
Lipamassacre,http://www.wikidata.org/entity/Q63351598,Lipa massacre,269,,,1944-04-30T00:00:00Z
MasakrnaŠvédskýchšancích,http://www.wikidata.org/entity/Q475581,Masakr na Švédských šancích,265,,,1945-06-18T00:00:00Z
Houlamassacre,http://www.wikidata.org/entity/Q1137013,Houla massacre,261,,,2012-05-25T00:00:00Z
PlandeSánchezmassacre,http://www.wikidata.org/entity/Q2523448,Plan de Sánchez massacre,250,,,1982-07-18T00:00:00Z
Ramnamassacre,http://www.wikidata.org/entity/Q17014905,Ramna massacre,250,,,1971-03-27T00:00:00Z
DosErresmassacre,http://www.wikidata.org/entity/Q740534,Dos Erres massacre,226,,,1982-12-06T00:00:00Z
TungchowMutiny,http://www.wikidata.org/entity/Q707956,Tungchow Mutiny,223,,,1937-07-29T00:00:00Z
Distomomassacre,http://www.wikidata.org/entity/Q688821,Distomo massacre,218,,,1944-06-10T00:00:00Z
stragediGorla,http://www.wikidata.org/entity/Q45825724,strage di Gorla,204,,,1944-10-20T00:00:00Z
Paramythiaexecutions,http://www.wikidata.org/entity/Q4390512,Paramythia executions,201,,,1943-09-01T00:00:00Z
Parismassacreof1961,http://www.wikidata.org/entity/Q200472,Paris massacre of 1961,200,,,1961-10-17T00:00:00Z
11demarzode2004,http://www.wikidata.org/entity/Q213531,11 de marzo de 2004,193,,,2004-03-11T00:00:00Z
Gudovacmassacre,http://www.wikidata.org/entity/Q5614677,Gudovac massacre,192,,,1941-04-28T00:00:00Z
Andijanmassacre,http://www.wikidata.org/entity/Q764967,Andijan massacre,187,,,2005-05-13T00:00:00Z
massacreofSochy,http://www.wikidata.org/entity/Q2436495,massacre of Sochy,185,,,1943-06-01T00:00:00Z
MasakrvMajdańskéHutě,http://www.wikidata.org/entity/Q9388641,Masakr v Majdańské Hutě,184,,,1943-07-12T00:00:00Z
DomenikonMassacre,http://www.wikidata.org/entity/Q1639150,Domenikon Massacre,175,,,1943-02-17T00:00:00Z
PadulediFucecchiomassacre,http://www.wikidata.org/entity/Q3718406,Padule di Fucecchio massacre,174,,,1944-08-23T00:00:00Z
OklahomaCitybombing,http://www.wikidata.org/entity/Q217528,Oklahoma City bombing,168,,,1995-04-19T00:00:00Z
Bulhoekmassacre,http://www.wikidata.org/entity/Q3297421,Bulhoek massacre,163,,,1921-05-24T00:00:00Z
March2019attacksagainstFulaniherders,http://www.wikidata.org/entity/Q62389968,March 2019 attacks against Fulani herders,160,,,2019-03-23T00:00:00Z
Benisheikmassacre,http://www.wikidata.org/entity/Q15410573,Benisheik massacre,159,,,2013-09-18T00:00:00Z
MassakervonPazin,http://www.wikidata.org/entity/Q74068231,Massaker von Pazin,157,,,1943-10-04T00:00:00Z
MedvedevForestmassacre,http://www.wikidata.org/entity/Q4390509,Medvedev Forest massacre,157,,,1941-09-11T00:00:00Z
Khatynmassacre,http://www.wikidata.org/entity/Q430700,Khatyn massacre,156,,,1943-03-22T00:00:00Z
GoyangGeumjeongCaveMassacre,http://www.wikidata.org/entity/Q3525320,Goyang Geumjeong Cave Massacre,153,,,1950-10-09T00:00:00Z
2015Bagamassacre,http://www.wikidata.org/entity/Q18732673,2015 Baga massacre,150,,,2015-01-07T00:00:00Z
GermanwingsFlight9525,http://www.wikidata.org/entity/Q19671417,Germanwings Flight 9525,150,,,2015-03-24T00:00:00Z
murderintheBratianForest,http://www.wikidata.org/entity/Q11785458,murder in the Bratian Forest,150,,,1939-10-15T00:00:00Z
GarissaUniversityCollegeattack,http://www.wikidata.org/entity/Q19750438,Garissa University College attack,148,,,2015-04-02T00:00:00Z
Budyonnovskhospitalhostagecrisis,http://www.wikidata.org/entity/Q1201832,Budyonnovsk hospital hostage crisis,147,,,1995-06-19T00:00:00Z
2014Peshawarschoolattack,http://www.wikidata.org/entity/Q18641076,2014 Peshawar school attack,145,,,2014-12-16T00:00:00Z
Zongmassacre,http://www.wikidata.org/entity/Q211582,Zong massacre,142,,,1781-11-29T00:00:00Z
Palawanmassacre,http://www.wikidata.org/entity/Q7126934,Palawan massacre,139,,,1944-12-14T00:00:00Z
