item,itemLabel,deaths,pointintime
http://www.wikidata.org/entity/Q66822981,2019 Coatzacoalcos Massacre,28,2019-08-27T00:00:00Z
http://www.wikidata.org/entity/Q20281004,Kuwait mosque bombing,27,2015-06-26T00:00:00Z
http://www.wikidata.org/entity/Q571354,Novocherkassk massacre,26,1962-06-01T00:00:00Z
http://www.wikidata.org/entity/Q42725753,Sutherland Springs church shooting,26,2017-11-05T00:00:00Z
http://www.wikidata.org/entity/Q41599927,Masacre de Alía,24,1942-08-16T00:00:00Z
http://www.wikidata.org/entity/Q981327,Haditha killings,24,2005-11-19T00:00:00Z
http://www.wikidata.org/entity/Q5200341,Cypress Hills massacre,24,1873-06-02T00:00:00Z
http://www.wikidata.org/entity/Q473896,San Ysidro McDonald's massacre,23,1984-07-18T00:00:00Z
http://www.wikidata.org/entity/Q4135498,Luby's massacre,23,1991-10-16T00:00:00Z
http://www.wikidata.org/entity/Q30015850,2017 Manchester Arena bombing,23,2017-05-22T00:00:00Z
http://www.wikidata.org/entity/Q4608917,2007 Mosul massacre,23,2007-04-23T00:00:00Z
http://www.wikidata.org/entity/Q5744075,Herrin massacre,23,1922-06-01T00:00:00Z
http://www.wikidata.org/entity/Q66108236,2019 El Paso shooting,22,2019-08-03T00:00:00Z
http://www.wikidata.org/entity/Q23045756,2016 Grand-Bassam shootings,22,2016-03-13T00:00:00Z
http://www.wikidata.org/entity/Q1034076,Bangka Island massacre,22,1942-02-16T00:00:00Z
http://www.wikidata.org/entity/Q1185525,1956 Georgian demonstrations,22,1956-03-09T00:00:00Z
http://www.wikidata.org/entity/Q6784476,1951 executions in Albania,22,1951-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10546229,Klečka killings,22,1998-07-01T00:00:00Z
http://www.wikidata.org/entity/Q55184134,Parkala Massacre,22,1947-09-02T00:00:00Z
http://www.wikidata.org/entity/Q58412,1987 Hipercor bombing,21,1987-06-19T00:00:00Z
http://www.wikidata.org/entity/Q57417004,Kerch Polytechnic College massacre,21,2018-10-17T00:00:00Z
http://www.wikidata.org/entity/Q19613356,Bardo National Museum attack,21,2015-03-18T00:00:00Z
http://www.wikidata.org/entity/Q6433084,Kosheh Massacres,21,2000-01-02T00:00:00Z
http://www.wikidata.org/entity/Q20826727,2015 Bangkok bombing,20,2015-08-17T00:00:00Z
http://www.wikidata.org/entity/Q4928061,Bloody Falls Massacre,20,1771-07-17T00:00:00Z
http://www.wikidata.org/entity/Q18748338,January 2015 Île-de-France attacks,20,2015-01-07T00:00:00Z
http://www.wikidata.org/entity/Q21516923,2015 Bamako hotel attack,20,2015-11-20T00:00:00Z
http://www.wikidata.org/entity/Q2756844,Courcelles Massacre,19,1944-08-18T00:00:00Z
http://www.wikidata.org/entity/Q2869958,Church Street bombing,19,1983-05-20T00:00:00Z
http://www.wikidata.org/entity/Q14490866,1987 Lieyu Massacre,19,1987-03-07T00:00:00Z
http://www.wikidata.org/entity/Q26084467,Sagamihara stabbings,19,2016-07-26T00:00:00Z
http://www.wikidata.org/entity/Q1985449,1938 Tiberias pogrom,19,1938-10-02T00:00:00Z
http://www.wikidata.org/entity/Q2930434,2007 Shinwar shooting,19,2007-03-04T00:00:00Z
http://www.wikidata.org/entity/Q5193032,Cullin-La-Ringo massacre,19,1861-10-17T00:00:00Z
http://www.wikidata.org/entity/Q6497151,Lattimer massacre,19,1897-09-10T00:00:00Z
http://www.wikidata.org/entity/Q1153159,Dunblane school massacre,18,1996-03-13T00:00:00Z
http://www.wikidata.org/entity/Q28403236,University of Texas Tower Shooting,18,1966-07-31T00:00:00Z
http://www.wikidata.org/entity/Q28403236,University of Texas Tower Shooting,18,1966-08-01T00:00:00Z
http://www.wikidata.org/entity/Q6005217,Masacre de Torreón,18,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q473877,Erfurt massacre,17,2002-04-26T00:00:00Z
http://www.wikidata.org/entity/Q473880,Hungerford massacre,17,1987-08-19T00:00:00Z
http://www.wikidata.org/entity/Q48714898,Marjory Stoneman Douglas High School shooting,17,2018-02-14T00:00:00Z
http://www.wikidata.org/entity/Q2181206,Aguas Blancas massacre,17,1995-06-28T00:00:00Z
http://www.wikidata.org/entity/Q4598836,2001 Kishtwar massacre,17,2001-08-03T00:00:00Z
