item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q309578,Love Parade disaster,21,2010-07-24T00:00:00Z,2010-07-24T00:00:00Z
http://www.wikidata.org/entity/Q1727601,Cyclone Gudrun,20,2005-01-08T00:00:00Z,2005-01-09T00:00:00Z
http://www.wikidata.org/entity/Q13581412,Yarnell Hill Fire,19,2013-06-28T00:00:00Z,2013-07-10T00:00:00Z
http://www.wikidata.org/entity/Q2331889,Hurricane Paloma,19,2008-11-05T00:00:00Z,2008-11-14T00:00:00Z
http://www.wikidata.org/entity/Q989354,Hurricane Emily,17,2005-07-11T00:00:00Z,2005-07-21T00:00:00Z
http://www.wikidata.org/entity/Q14714675,Blackwater fire of 1937,15,1937-08-18T00:00:00Z,1937-08-24T00:00:00Z
http://www.wikidata.org/entity/Q7861281,Typhoon Omar,15,1992-08-20T00:00:00Z,1992-09-06T00:00:00Z
http://www.wikidata.org/entity/Q15276827,Cyclone Xaver,14,2013-12-04T00:00:00Z,2013-12-06T00:00:00Z
http://www.wikidata.org/entity/Q28128451,2016 Great Smoky Mountains wildfires,14,2016-11-28T00:00:00Z,2016-12-09T00:00:00Z
http://www.wikidata.org/entity/Q56530829,Typhoon Mangkhut,14,2018-09-07T00:00:00Z,2018-09-17T00:00:00Z
http://www.wikidata.org/entity/Q56273060,2018 Shouguang flood,13,2018-08-19T00:00:00Z,2018-08-21T00:00:00Z
http://www.wikidata.org/entity/Q19592235,1888 Louisiana hurricane,12,1888-08-14T00:00:00Z,1888-08-24T00:00:00Z
http://www.wikidata.org/entity/Q267472,Hurricane Juliette,12,2001-09-21T00:00:00Z,2001-10-03T00:00:00Z
http://www.wikidata.org/entity/Q56552345,Hurricane Florence,12,2018-08-31T00:00:00Z,2018-09-19T00:00:00Z
http://www.wikidata.org/entity/Q3246802,Hurricane Ernesto,12,2012-08-01T00:00:00Z,2012-08-10T00:00:00Z
http://www.wikidata.org/entity/Q28472137,2017 Chile wildfires,11,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z
http://www.wikidata.org/entity/Q57243792,Hurricane Leslie,11,2018-09-23T00:00:00Z,2018-10-16T00:00:00Z
http://www.wikidata.org/entity/Q3241883,Hurricane Anita,10,1977-08-29T00:00:00Z,1977-09-04T00:00:00Z
http://www.wikidata.org/entity/Q3044851,Tropical Storm Barry,9,2001-08-02T00:00:00Z,2001-08-07T00:00:00Z
http://www.wikidata.org/entity/Q47459321,Storm Friederike,8,2018-01-15T00:00:00Z,2018-01-20T00:00:00Z
http://www.wikidata.org/entity/Q13417205,2013 El Reno tornado,8,2013-05-31T00:00:00Z,2013-05-31T00:00:00Z
